ref,pin,pin_name,net,electrical_role,voltage_domain,connection_requirement,evidence
U4,1,EN,SYS_RAIL,input,1S_system,1 MOhm pull-up; defined high while battery present,TI-TPS63900-SLVSFJ2D
U4,2,SEL,GND,input,0V,Select VOUT1; both output options programmed 3.3 V,TI-TPS63900-SLVSFJ2D
U4,3,CFG1,R_CFG1_NODE,analog,program,36.5 kOhm 1 percent to GND,TI-TPS63900-SLVSFJ2D
U4,4,CFG2,GND,analog,0V,0 Ohm to GND for unlimited programmed input-current setting,TI-TPS63900-SLVSFJ2D
U4,5,CFG3,R_CFG3_NODE,analog,program,16.2 kOhm 1 percent to GND,TI-TPS63900-SLVSFJ2D
U4,"8,EP",GND,GND,power_return,0V,Solid ground and exposed pad,TI-TPS63900-SLVSFJ2D
U2,8,VDD,3V3,power_in,3V3,100 nF at pin,ST-LSM6DSV16X-DS13510-R4
U2,5,VDD_IO,3V3,power_in,3V3,100 nF at pin,ST-LSM6DSV16X-DS13510-R4
U2,"6,7",GND,GND,power_return,0V,Ground plane,ST-LSM6DSV16X-DS13510-R4
U2,13,SCL,I2C_SCL,input,3V3,Shared 100 kHz I2C,ST-LSM6DSV16X-DS13510-R4
U2,14,SDA,I2C_SDA,bidirectional,3V3,Shared 100 kHz I2C,ST-LSM6DSV16X-DS13510-R4
U2,12,CS,3V3,input,3V3,Tie high for I2C mode,ST-LSM6DSV16X-DS13510-R4
U2,1,SDO/SA0,GND,input,0V,I2C address select low,ST-LSM6DSV16X-DS13510-R4
U2,4,INT1,IMU_INT1,output,3V3,Dedicated interrupt,ST-LSM6DSV16X-DS13510-R4
U2,9,INT2,TP_IMU_INT2,output,3V3,Test pad only; no host connection in EVT,ST-LSM6DSV16X-DS13510-R4
U2,"2,3",SDx/SCx,GND,input,0V,Qvar and auxiliary bus disabled termination,ST-LSM6DSV16X-DS13510-R4
U2,"10,11",OCS_Aux/SDO_Aux,3V3,input,3V3,Selected supported inactive termination; recheck before auxiliary bus use,ST-LSM6DSV16X-DS13510-R4
U5,10,VDD,3V3,power_in,3V3,1 uF plus 100 nF local bypass,TI-DRV2605L-SLOS854D
U5,6,VDD/NC,3V3,power_in,3V3,Tie to VDD for selected DGS package,TI-DRV2605L-SLOS854D
U5,8,GND,GND,power_return,0V,Ground plane,TI-DRV2605L-SLOS854D
U5,1,REG,HAPTIC_REG,analog,internal_reg,1 uF to GND only; no external load,TI-DRV2605L-SLOS854D
U5,2,SCL,I2C_SCL,input,3V3,Shared I2C,TI-DRV2605L-SLOS854D
U5,3,SDA,I2C_SDA,bidirectional,3V3,Shared I2C,TI-DRV2605L-SLOS854D
U5,4,IN/TRIG,GND,input,0V,Ground because external trigger unused,TI-DRV2605L-SLOS854D
U5,5,EN,HAPTIC_EN,input,3V3,100 kOhm pull-down keeps disabled at reset,TI-DRV2605L-SLOS854D
U5,7,OUT+,HAPTIC_P,power_out,differential,Actuator positive; never ground,TI-DRV2605L-SLOS854D
U5,9,OUT-,HAPTIC_N,power_out,differential,Actuator negative; never ground,TI-DRV2605L-SLOS854D
J3,1,HAPTIC+,HAPTIC_P,power_load,differential,Keyed actuator lead,TI-DRV2605L-SLOS854D
J3,2,HAPTIC-,HAPTIC_N,power_load,differential,Keyed actuator lead,TI-DRV2605L-SLOS854D
